CUSTOMER_ID,EMPLOYEE_SIZE,CUSTOMER_SEGMENT
H00041533,1 to 25,International Direct
H00041565,26 to 200,NAM Direct
H00041874,26 to 200,NAM Partner
H00041885,26 to 200,International Partner
H00042047,1 to 25,NAM Low-Touch
H00042106,201 or Above,NAM Low-Touch
H00042120,1 to 25,NAM Low-Touch
H00042250,1 to 25,NAM Low-Touch
H00042332,201 or Above,NAM High-touch
H00042339,1 to 25,NAM Low-Touch
H00042367,26 to 200,International Partner
H00042376,26 to 200,International Direct
H00042673,1 to 25,NAM Low-Touch
H00042752,1 to 25,International Direct
H00042755,26 to 200,International Direct
H00042775,201 or Above,NAM Low-Touch
H00042885,26 to 200,International Partner
H00042940,1 to 25,NAM Low-Touch
H00042952,1 to 25,International Low-touch
H00043306,1 to 25,NAM Low-Touch
H00043488,1 to 25,NAM Low-Touch
H00043812,26 to 200,NAM High-touch
H00043818,1 to 25,International Low-touch
H00043882,201 or Above,International Partner
H00043904,1 to 25,NAM Low-Touch
H00044048,201 or Above,NAM Low-Touch
H00044055,26 to 200,NAM High-touch
H00044110,26 to 200,International Direct
H00044294,1 to 25,International Partner
H00044300,1 to 25,International Low-touch
H00044354,26 to 200,NAM Direct
H00044390,1 to 25,NAM Low-Touch
H00044412,Undefined,NAM High-touch
H00044441,1 to 25,International Low-touch
H00044449,1 to 25,NAM Direct
H00044459,201 or Above,NAM Low-Touch
H00044468,1 to 25,NAM Low-Touch
H00044497,1 to 25,International Direct
H00044508,201 or Above,NAM Direct
H00044540,1 to 25,NAM Low-Touch
H00044544,201 or Above,International Low-touch
H00044684,Undefined,International Partner
H00044711,1 to 25,International Low-touch
H00044811,26 to 200,NAM Unowned
H00044891,1 to 25,NAM Low-Touch
H00044918,201 or Above,NAM High-touch
H00044953,1 to 25,NAM Low-Touch
H00045131,1 to 25,NAM Low-Touch
H00045231,1 to 25,International Partner
H00045252,1 to 25,NAM Unowned
H00045274,1 to 25,NAM Unowned
H00141984,201 or Above,NAM High-touch
H00142214,1 to 25,NAM Low-Touch
H00142323,26 to 200,International Direct
H00142371,26 to 200,NAM Low-Touch
H00142489,26 to 200,NAM Partner
H00142543,1 to 25,NAM Low-Touch
H00142591,1 to 25,International Low-touch
H00142606,1 to 25,International Low-touch
H00142735,26 to 200,NAM Direct
H00142889,1 to 25,International Low-touch
H00143017,1 to 25,International Direct
H00143029,201 or Above,International Partner
H00143044,1 to 25,NAM Low-Touch
H00143304,1 to 25,International Direct
H00143460,Undefined,International Direct
H00143486,26 to 200,NAM Low-Touch
H00143790,26 to 200,International Direct
H00143834,26 to 200,NAM Low-Touch
H00143837,1 to 25,NAM Low-Touch
H00143927,1 to 25,NAM Low-Touch
H00143936,26 to 200,NAM Direct
H00143940,1 to 25,International Direct
H00143995,1 to 25,NAM Low-Touch
H00144079,26 to 200,NAM High-touch
H00144098,1 to 25,International Low-touch
H00144101,1 to 25,NAM Low-Touch
H00144111,26 to 200,NAM Direct
H00144181,1 to 25,NAM Direct
H00144248,201 or Above,International Partner
H00144267,1 to 25,NAM Low-Touch
H00144373,1 to 25,NAM Low-Touch
H00144459,1 to 25,NAM Low-Touch
H00144515,1 to 25,NAM Low-Touch
H00144525,1 to 25,International Direct
H00144542,26 to 200,NAM Low-Touch
H00144570,1 to 25,NAM Low-Touch
H00144604,26 to 200,International Direct
H00144728,201 or Above,NAM Direct
